SEDE,FACULTAD,CARRERA,OBSERVACIONES,OBSERVACIONES,TEXTO_TOKEN,LEMMA,SENTIMIENTO,SCORE,TOPIC,name_topic
SEDE 7,FACULTAD 3,LICENCIATURA 10,A los estudiantes nocturnos se nos debería incluir en actividades deportivas.,A los estudiantes nocturnos se nos debería incluir en actividades deportivas.,"['estudiantes', 'nocturnos', 'debería', 'incluir', 'actividades', 'deportivas']","['estudiante', 'nocturno', 'deber', 'incluir', 'actividad', 'deportivo']",Positivo,57.08%,7,acceso
SEDE 6,FACULTAD 5,LICENCIATURA 22,"A parte de la biblioteca, no tengo conocimiento de algún espacio preparado para actividades de estudio. Por lo cual seria bueno que habilitaran espacios para estudiar y hacer tareas con tranquilidad.","A parte de la biblioteca, no tengo conocimiento de algún espacio preparado para actividades de estudio. Por lo cual seria bueno que habilitaran espacios para estudiar y hacer tareas con tranquilidad.","['parte', 'biblioteca', 'conocimiento', 'algún', 'espacio', 'preparado', 'actividades', 'estudio', 'seria', 'bueno', 'habilitaran', 'espacios', 'estudiar', 'hacer', 'tareas', 'tranquilidad']","['biblioteca', 'conocimiento', 'espacio', 'preparado', 'actividad', 'estudio', 'serio', 'habilitar', 'espacio', 'estudiar', 'tarea', 'tranquilidad']",Positivo,91.25%,6,estudio
SEDE 1,FACULTAD 5,LICENCIATURA 23,A pesar de que fue excelente en cuanto las horas en laboratorio hay una materia que necesita tener laboratorio y no los tenía.,A pesar de que fue excelente en cuanto las horas en laboratorio hay una materia que necesita tener laboratorio y no los tenía.,"['pesar', 'excelente', 'cuanto', 'horas', 'laboratorio', 'materia', 'necesita', 'tener', 'laboratorio']","['excelente', 'hora', 'laboratorio', 'materia', 'necesitar', 'laboratorio']",Positivo,87.50%,1,laboratorio
SEDE 1,FACULTAD 1,INGENIERIA 03,A uno que otro salón no le funciona el puerto hdmi que está instalado,A uno que otro salón no le funciona el puerto hdmi que está instalado,"['salón', 'funciona', 'puerto', 'hdmi', 'instalado']","['salón', 'funcionar', 'puerto', 'hdmi', 'instalado']",Positivo,56.25%,2,
SEDE 1,FACULTAD 5,LICENCIATURA 23,"A veces hace mucho frio en las aulas de clase, incomoda.","A veces hace mucho frio en las aulas de clase, incomoda.","['veces', 'hace', 'frio', 'aulas', 'clase', 'incomoda']","['frio', 'aula', 'clase', 'incomodo']",Positivo,56.24%,4,
SEDE 1,FACULTAD 5,INGENIERIA 25,A veces la conexion WIFI en ciertas areas de la universidad se sienten lentas,A veces la conexion WIFI en ciertas areas de la universidad se sienten lentas,"['veces', 'conexion', 'wifi', 'ciertas', 'areas', 'universidad', 'sienten', 'lentas']","['conexion', 'wifi', 'areas', 'universidad', 'sentir', 'lenta']",Positivo,55.31%,3,wifi
SEDE 1,FACULTAD 1,POSTGRADO 17,"A veces las 4 horas son agotadoras, es indispensable hacer espacios cortos de descanso para descansar.","A veces las 4 horas son agotadoras, es indispensable hacer espacios cortos de descanso para descansar.","['veces', 'horas', 'agotadoras', 'indispensable', 'hacer', 'espacios', 'cortos', 'descanso', 'descansar']","['hora', 'agotador', 'indispensable', 'espacio', 'corto', 'descanso', 'descansar']",Positivo,62.45%,6,estudio
SEDE 1,FACULTAD 1,LICENCIATURA 02,a veces las aulas no estaban lo suficientemente limpias,a veces las aulas no estaban lo suficientemente limpias,"['veces', 'aulas', 'suficientemente', 'limpias']","['aula', 'suficientemente', 'limpio']",Positivo,70.82%,4,
SEDE 1,FACULTAD 4,LICENCIATURA 14,A veces no habia espacio en los salones de estudio.,A veces no habia espacio en los salones de estudio.,"['veces', 'habia', 'espacio', 'salones', 'estudio']","['espacio', 'salón', 'estudio']",Positivo,70.83%,6,estudio
SEDE 1,FACULTAD 4,INGENIERIA 21,A veces no hay disponibilidad de salones en la biblioteca,A veces no hay disponibilidad de salones en la biblioteca,"['veces', 'disponibilidad', 'salones', 'biblioteca']","['disponibilidad', 'salón', 'biblioteco']",Positivo,70.81%,6,estudio
SEDE 1,FACULTAD 5,INGENIERIA 29,A veces tengo problema para solucion de dudas,A veces tengo problema para solucion de dudas,"['veces', 'problema', 'solucion', 'dudas']","['problema', 'solucion', 'duda']",Positivo,56.22%,3,wifi
SEDE 1,FACULTAD 2,INGENIERIA 08,A veces utilizamos los salones de laboratorio cuando están disponibles para estudiar y lastimosamente nos lo cierran.,A veces utilizamos los salones de laboratorio cuando están disponibles para estudiar y lastimosamente nos lo cierran.,"['veces', 'utilizamos', 'salones', 'laboratorio', 'disponibles', 'estudiar', 'lastimosamente', 'cierran']","['utilizamos', 'salón', 'laboratorio', 'disponible', 'estudiar', 'lastimosamente', 'cerrar']",Positivo,53.10%,1,laboratorio
SEDE 1,FACULTAD 3,INGENIERIA 16,Abrir cafetería del edificio azul,Abrir cafetería del edificio azul,"['abrir', 'cafetería', 'edificio', 'azul']","['abrir', 'cafetería', 'edificio', 'azul']",Positivo,42.74%,0,variedad
SEDE 1,FACULTAD 3,INGENIERIA 15,"Abrir espacios de descanso, tanto interiores como exteriores para conectar con la naturaleza","Abrir espacios de descanso, tanto interiores como exteriores para conectar con la naturaleza","['abrir', 'espacios', 'descanso', 'interiores', 'exteriores', 'conectar', 'naturaleza']","['abrir', 'espacio', 'descanso', 'interior', 'exterior', 'conectar', 'naturaleza']",Positivo,44.41%,4,
SEDE 1,FACULTAD 1,LICENCIATURA 02,Abrir la cafetería del nuevo edificios.,Abrir la cafetería del nuevo edificios.,"['abrir', 'cafetería', 'nuevo', 'edificios']","['abrir', 'cafetería', 'edificio']",Positivo,42.76%,0,variedad
SEDE 1,FACULTAD 3,INGENIERIA 16,Abrir más estacionamientos cercanos al edificio para uso de los estudiantes.,Abrir más estacionamientos cercanos al edificio para uso de los estudiantes.,"['abrir', 'estacionamientos', 'cercanos', 'edificio', 'uso', 'estudiantes']","['abrir', 'estacionamiento', 'cercano', 'edificio', 'estudiant']",Positivo,60.38%,4,
SEDE 1,FACULTAD 3,INGENIERIA 15,Abrir más salones de estudio que incluyan proyectores y más conexiones,Abrir más salones de estudio que incluyan proyectores y más conexiones,"['abrir', 'salones', 'estudio', 'incluyan', 'proyectores', 'conexiones']","['abrir', 'salón', 'estudio', 'incluyar', 'proyector', 'conexión']",Positivo,62.65%,4,
SEDE 1,FACULTAD 4,INGENIERIA 17,"Abrir más salones, se necesitan utilizar más los edificios que no se encuentran en uso total.","Abrir más salones, se necesitan utilizar más los edificios que no se encuentran en uso total.","['abrir', 'salones', 'necesitan', 'utilizar', 'edificios', 'encuentran', 'uso', 'total']","['abrir', 'salón', 'necesitar', 'utilizar', 'edificio', 'encontrar']",Positivo,85.41%,4,
SEDE 1,FACULTAD 6,LICENCIATURA 24,Abrir más temprano el área de cafetería.,Abrir más temprano el área de cafetería.,"['abrir', 'temprano', 'área', 'cafetería']","['abrir', 'área', 'cafetería']",Positivo,42.15%,0,variedad
SEDE 4,FACULTAD 5,LICENCIATURA 27,Abrir un centro de fotocopiado que no hay en la universidad,Abrir un centro de fotocopiado que no hay en la universidad,"['abrir', 'centro', 'fotocopiado', 'universidad']","['abrir', 'centro', 'fotocopiado', 'universidad']",Positivo,60.89%,7,acceso
SEDE 1,FACULTAD 3,INGENIERIA 16,Abriri salones de estudio en el edif 1,Abriri salones de estudio en el edif 1,"['abriri', 'salones', 'estudio', 'edif']","['abriri', 'salón', 'estudio', 'edif']",Positivo,56.25%,6,estudio
SEDE 6,FACULTAD 2,INGENIERIA 07,Accesibilidad de los buses de rutas a la universidad,Accesibilidad de los buses de rutas a la universidad,"['accesibilidad', 'buses', 'rutas', 'universidad']","['accesibilidad', 'bus', 'ruta', 'universidad']",Positivo,70.81%,3,wifi
SEDE 1,FACULTAD 3,INGENIERIA 15,Acceso a cursos de inglés gratuitos,Acceso a cursos de inglés gratuitos,"['acceso', 'cursos', 'inglés', 'gratuitos']","['acceso', 'curso', 'inglés', 'gratuito']",Positivo,37.51%,7,acceso
SEDE 1,FACULTAD 3,POSTGRADO 41,Acceso a documentos de forma rapida,Acceso a documentos de forma rapida,"['acceso', 'documentos', 'forma', 'rapida']","['acceso', 'documento', 'formar', 'rapido']",Positivo,56.24%,7,acceso
SEDE 1,FACULTAD 1,LICENCIATURA 02,acceso a internet más amplio para investigaciones o sugerencias.,acceso a internet más amplio para investigaciones o sugerencias.,"['acceso', 'internet', 'amplio', 'investigaciones', 'sugerencias']","['acceso', 'internet', 'amplio', 'investigación', 'sugerencia']",Positivo,59.42%,7,acceso
SEDE 1,FACULTAD 2,INGENIERIA 08,Acceso a la información de las clases en un salón para su usó como lugar de estudio fuera de clases.,Acceso a la información de las clases en un salón para su usó como lugar de estudio fuera de clases.,"['acceso', 'información', 'clases', 'salón', 'usó', 'lugar', 'estudio', 'clases']","['acceso', 'información', 'clás', 'salón', 'usar', 'lugar', 'estudio', 'clás']",Positivo,34.51%,4,
SEDE 1,FACULTAD 3,LICENCIATURA 10,Acceso a laboratorios para carreras de mercadeo,Acceso a laboratorios para carreras de mercadeo,"['acceso', 'laboratorios', 'carreras', 'mercadeo']","['acceso', 'laboratorio', 'carrera', 'mercadeo']",Positivo,44.35%,1,laboratorio
SEDE 1,FACULTAD 1,INGENIERIA 01,Acceso a lugares de descanso e esparcimiento,Acceso a lugares de descanso e esparcimiento,"['acceso', 'lugares', 'descanso', 'esparcimiento']","['acceso', 'lugar', 'descanso', 'esparcimiento']",Positivo,62.47%,6,estudio
SEDE 3,FACULTAD 1,LICENCIATURA 03,Acceso a lugares de receso y esparcimiento,Acceso a lugares de receso y esparcimiento,"['acceso', 'lugares', 'receso', 'esparcimiento']","['acceso', 'lugar', 'receso', 'esparcimiento']",Positivo,82.48%,3,wifi
SEDE 3,FACULTAD 1,LICENCIATURA 04,Acceso a lugares de receso y esparcimiento,Acceso a lugares de receso y esparcimiento,"['acceso', 'lugares', 'receso', 'esparcimiento']","['acceso', 'lugar', 'receso', 'esparcimiento']",Positivo,82.48%,3,wifi
SEDE 6,FACULTAD 1,INGENIERIA 01,Acceso a lugares de receso y esparcimiento.,Acceso a lugares de receso y esparcimiento.,"['acceso', 'lugares', 'receso', 'esparcimiento']","['acceso', 'lugar', 'receso', 'esparcimiento']",Positivo,82.48%,3,wifi
SEDE 6,FACULTAD 5,INGENIERIA 25,Acceso a lugares de receso y esparcimiento.,Acceso a lugares de receso y esparcimiento.,"['acceso', 'lugares', 'receso', 'esparcimiento']","['acceso', 'lugar', 'receso', 'esparcimiento']",Positivo,82.48%,3,wifi
SEDE 1,FACULTAD 5,LICENCIATURA 27,Acceso a lugares de receso y esparcimiento.,Acceso a lugares de receso y esparcimiento.,"['acceso', 'lugares', 'receso', 'esparcimiento']","['acceso', 'lugar', 'receso', 'esparcimiento']",Positivo,82.48%,3,wifi
SEDE 7,FACULTAD 2,LICENCIATURA 06,Acceso a lugares de receso y esparcimiento.,Acceso a lugares de receso y esparcimiento.,"['acceso', 'lugares', 'receso', 'esparcimiento']","['acceso', 'lugar', 'receso', 'esparcimiento']",Positivo,82.48%,3,wifi
SEDE 7,FACULTAD 3,LICENCIATURA 08,Acceso a lugares de receso y esparcimiento.,Acceso a lugares de receso y esparcimiento.,"['acceso', 'lugares', 'receso', 'esparcimiento']","['acceso', 'lugar', 'receso', 'esparcimiento']",Positivo,82.48%,3,wifi
SEDE 8,FACULTAD 3,INGENIERIA 15,Acceso a lugares de receso y esparcimiento.,Acceso a lugares de receso y esparcimiento.,"['acceso', 'lugares', 'receso', 'esparcimiento']","['acceso', 'lugar', 'receso', 'esparcimiento']",Positivo,82.48%,3,wifi
SEDE 1,FACULTAD 4,LICENCIATURA 17,Acceso a más actividades para los que están en horarios nocturnos,Acceso a más actividades para los que están en horarios nocturnos,"['acceso', 'actividades', 'horarios', 'nocturnos']","['acceso', 'actividad', 'horario', 'nocturno']",Positivo,64.36%,7,acceso
SEDE 1,FACULTAD 3,INGENIERIA 16,Acceso a mas clases virtuales,Acceso a mas clases virtuales,"['acceso', 'mas', 'clases', 'virtuales']","['acceso', 'clase', 'virtual']",Positivo,37.50%,6,estudio
SEDE 1,FACULTAD 3,INGENIERIA 15,"Acceso a más personas en el salón ya que algunos se llenan y no se pueden meter, y algunos ya tienen su salón previsto por motivos personales o de trabajo.","Acceso a más personas en el salón ya que algunos se llenan y no se pueden meter, y algunos ya tienen su salón previsto por motivos personales o de trabajo.","['acceso', 'personas', 'salón', 'llenan', 'pueden', 'meter', 'salón', 'previsto', 'motivos', 'personales', 'trabajo']","['acceso', 'persona', 'salón', 'llenar', 'meter', 'salón', 'previsto', 'motivo', 'personal', 'trabajar']",Positivo,37.50%,7,acceso
SEDE 1,FACULTAD 3,POSTGRADO 01,acceso a publicaciones de alto perfil sin costo,acceso a publicaciones de alto perfil sin costo,"['acceso', 'publicaciones', 'alto', 'perfil', 'costo']","['acceso', 'publicación', 'alto', 'perfil', 'costo']",Positivo,38.47%,7,acceso
SEDE 1,FACULTAD 1,INGENIERIA 01,Acceso a salones de estudio 24 horas en semestrales,Acceso a salones de estudio 24 horas en semestrales,"['acceso', 'salones', 'estudio', 'horas', 'semestrales']","['acceso', 'salón', 'estudio', 'hora', 'semestral']",Positivo,53.12%,7,acceso
SEDE 8,FACULTAD 4,LICENCIATURA 15,Acceso a transporte para los de escaso recursos,Acceso a transporte para los de escaso recursos,"['acceso', 'transporte', 'escaso', 'recursos']","['acceso', 'transporte', 'escaso', 'recurso']",Positivo,38.04%,2,
SEDE 1,FACULTAD 5,POSTGRADO 26,ACCESO A UNA BIBLIOTECA VIRTUAL  EN ESTA MAESTRIA,ACCESO A UNA BIBLIOTECA VIRTUAL  EN ESTA MAESTRIA,"['acceso', 'biblioteca', 'virtual', 'maestria']","['acceso', 'biblioteca', 'virtual', 'maestrio']",Positivo,52.74%,6,estudio
SEDE 4,FACULTAD 1,INGENIERIA 01,Acceso a una fotocopiadora dentro de el área de estudio.,Acceso a una fotocopiadora dentro de el área de estudio.,"['acceso', 'fotocopiadora', 'dentro', 'área', 'estudio']","['acceso', 'fotocopiadoro', 'área', 'estudio']",Positivo,50.04%,6,estudio
SEDE 1,FACULTAD 4,INGENIERIA 20,Acceso al gimnasio muy limitado y medido.,Acceso al gimnasio muy limitado y medido.,"['acceso', 'gimnasio', 'limitado', 'medido']","['acceso', 'gimnasio', 'limitado', 'medido']",Positivo,38.04%,2,
SEDE 1,FACULTAD 5,LICENCIATURA 22,Acceso de cajeros y maquinas de recargas en cada facultad.,Acceso de cajeros y maquinas de recargas en cada facultad.,"['acceso', 'cajeros', 'maquinas', 'recargas', 'cada', 'facultad']","['acceso', 'cajero', 'maquina', 'recarga', 'facultad']",Positivo,38.53%,1,laboratorio
SEDE 7,FACULTAD 3,LICENCIATURA 08,Acceso directo de la panamericana a la universidad,Acceso directo de la panamericana a la universidad,"['acceso', 'directo', 'panamericana', 'universidad']","['acceso', 'directo', 'panamericán', 'universidad']",Positivo,70.83%,7,acceso
SEDE 1,FACULTAD 5,LICENCIATURA 23,"Acceso ilimitado a los laboratorios, pues siento que se les debería dar un mayor tiempo de uso (24/7), ya sea para la práctica o la investigación.","Acceso ilimitado a los laboratorios, pues siento que se les debería dar un mayor tiempo de uso (24/7), ya sea para la práctica o la investigación.","['acceso', 'ilimitado', 'laboratorios', 'pues', 'siento', 'debería', 'dar', 'mayor', 'tiempo', 'uso', 'práctica', 'investigación']","['acceso', 'ilimitado', 'laboratorio', 'sentir', 'deber', 'tiempo', 'práctico', 'investigación']",Positivo,35.22%,2,
SEDE 4,FACULTAD 3,POSTGRADO 14,Acceso mas rapido a la biblioteca virtual,Acceso mas rapido a la biblioteca virtual,"['acceso', 'mas', 'rapido', 'biblioteca', 'virtual']","['acceso', 'rapido', 'biblioteca', 'virtual']",Positivo,52.74%,6,estudio
SEDE 1,FACULTAD 5,LICENCIATURA 22,Acceso wifi mas rapido,Acceso wifi mas rapido,"['acceso', 'wifi', 'mas', 'rapido']","['acceso', 'wifi', 'rapido']",Positivo,70.81%,3,wifi
SEDE 6,FACULTAD 3,INGENIERIA 15,Acceso wifi para las facultad de ingeniería ----,Acceso wifi para las facultad de ingeniería ----,"['acceso', 'wifi', 'facultad', 'ingeniería']","['acceso', 'wifi', 'facultad', 'ingeniería']",Positivo,44.02%,3,wifi
SEDE 1,FACULTAD 1,INGENIERIA 01,"Accesos a otros edificios sin techo. En caso de lluvia es muy dificil acceder a la parada, ---- sin mojarse.","Accesos a otros edificios sin techo. En caso de lluvia es muy dificil acceder a la parada, ---- sin mojarse.","['accesos', 'edificios', 'techo', 'caso', 'lluvia', 'dificil', 'acceder', 'parada', 'mojarse']","['acceso', 'edificio', 'techo', 'caso', 'lluvia', 'dificil', 'acceder', 'parada', 'mojar él']",Positivo,63.17%,4,
SEDE 6,FACULTAD 1,LICENCIATURA 05,Acondicionar el acceso de los estacionamientos hacia las aulas,Acondicionar el acceso de los estacionamientos hacia las aulas,"['acondicionar', 'acceso', 'estacionamientos', 'hacia', 'aulas']","['acondicionar', 'acceso', 'estacionamiento', 'aula']",Positivo,53.70%,4,
SEDE 5,FACULTAD 4,LICENCIATURA 15,Acondicionar mas lugares de esparcimiento al aire libre y hacer un parque bajo techo,Acondicionar mas lugares de esparcimiento al aire libre y hacer un parque bajo techo,"['acondicionar', 'mas', 'lugares', 'esparcimiento', 'aire', 'libre', 'hacer', 'parque', 'bajo', 'techo']","['acondicionar', 'lugar', 'esparcimiento', 'aire', 'libre', 'parque', 'techo']",Positivo,67.99%,6,estudio
SEDE 4,FACULTAD 3,LICENCIATURA 10,Acondicionar un lugar de estudio. Al momento el único lugar cómodo es la cafetería y no siempre está en silencio,Acondicionar un lugar de estudio. Al momento el único lugar cómodo es la cafetería y no siempre está en silencio,"['acondicionar', 'lugar', 'estudio', 'momento', 'único', 'lugar', 'cómodo', 'cafetería', 'siempre', 'silencio']","['acondicionar', 'lugar', 'estudio', 'momento', 'único', 'lugar', 'cómodo', 'cafetería', 'silencio']",Positivo,87.49%,6,estudio
SEDE 6,FACULTAD 5,LICENCIATURA 21,Acondicionar zonas comunes con áreas verdes.,Acondicionar zonas comunes con áreas verdes.,"['acondicionar', 'zonas', 'comunes', 'áreas', 'verdes']","['acondicionar', 'zona', 'común', 'área', 'verde']",Positivo,38.55%,3,wifi
SEDE 1,FACULTAD 1,LICENCIATURA 03,Activar el usuario vía interneth,Activar el usuario vía interneth,"['activar', 'usuario', 'vía', 'interneth']","['activar', 'usuario', 'vía', 'interneth']",Positivo,56.25%,7,acceso
SEDE 4,FACULTAD 5,LICENCIATURA 23,Activar un centro de fotocopias. Ya que a muchos nos toca ir a la otra Universidad (UP) a sacar las copias.,Activar un centro de fotocopias. Ya que a muchos nos toca ir a la otra Universidad (UP) a sacar las copias.,"['activar', 'centro', 'fotocopias', 'toca', 'universidad', 'sacar', 'copias']","['activar', 'centro', 'fotocopia', 'tocar', 'universidad', 'sacar', 'copia']",Positivo,44.33%,1,laboratorio
SEDE 4,FACULTAD 3,INGENIERIA 15,Actividades deportivas que integren la salud física y mental de los estudiantes.,Actividades deportivas que integren la salud física y mental de los estudiantes.,"['actividades', 'deportivas', 'integren', 'salud', 'física', 'mental', 'estudiantes']","['actividad', 'deportivo', 'integrar', 'salud', 'físico', 'mental', 'estudiante']",Positivo,55.24%,4,
SEDE 1,FACULTAD 5,LICENCIATURA 23,"actualización de los equipos informáticos, algunos tienen ---- desfazados que retrasan el desarrollo de ejercicios en clase","actualización de los equipos informáticos, algunos tienen ---- desfazados que retrasan el desarrollo de ejercicios en clase","['actualización', 'equipos', 'informáticos', 'desfazados', 'retrasan', 'desarrollo', 'ejercicios', 'clase']","['actualización', 'equipo', 'informático', 'desfazado', 'retrasar', 'desarrollo', 'ejercicio', 'clase']",Positivo,56.24%,0,variedad
SEDE 1,FACULTAD 4,LICENCIATURA 15,"Actualización en equipos modernos para laboratorio, es necesario la práctica y muy importante.","Actualización en equipos modernos para laboratorio, es necesario la práctica y muy importante.","['actualización', 'equipos', 'modernos', 'laboratorio', 'necesario', 'práctica', 'importante']","['actualización', 'equipo', 'moderno', 'laboratorio', 'necesario', 'práctica', 'importante']",Positivo,82.49%,0,variedad
SEDE 1,FACULTAD 5,INGENIERIA 25,Actualizar el equipo de laboratorio informatico con equipos de mejor rendimiento ya que en tareas como renderizado no rinden lo necesario,Actualizar el equipo de laboratorio informatico con equipos de mejor rendimiento ya que en tareas como renderizado no rinden lo necesario,"['actualizar', 'equipo', 'laboratorio', 'informatico', 'equipos', 'mejor', 'rendimiento', 'tareas', 'renderizado', 'rinden', 'necesario']","['actualizar', 'equipo', 'laboratorio', 'informatico', 'equipo', 'rendimiento', 'tarea', 'renderizado', 'rendir', 'necesario']",Positivo,85.41%,1,laboratorio
SEDE 1,FACULTAD 4,LICENCIATURA 14,"Actualizar equipos de laboratorios, en especial de ---- (herramientas y demás)","Actualizar equipos de laboratorios, en especial de ---- (herramientas y demás)","['actualizar', 'equipos', 'laboratorios', 'especial', 'herramientas', 'demás']","['actualizar', 'equipo', 'laboratorio', 'especial', 'herramienta']",Positivo,78.12%,0,variedad
SEDE 2,FACULTAD 2,INGENIERIA 08,Actualizar las computadoras por mas modernas,Actualizar las computadoras por mas modernas,"['actualizar', 'computadoras', 'mas', 'modernas']","['actualizar', 'computadora', 'moderno']",Positivo,70.82%,0,variedad
SEDE 1,FACULTAD 2,INGENIERIA 08,Actualizar las guias de laboratorio para que sean experiencias prácticas y no teóricas,Actualizar las guias de laboratorio para que sean experiencias prácticas y no teóricas,"['actualizar', 'guias', 'laboratorio', 'experiencias', 'prácticas', 'teóricas']","['actualizar', 'guia', 'laboratorio', 'experiencia', 'práctico', 'teórico']",Positivo,70.83%,1,laboratorio
SEDE 8,FACULTAD 5,INGENIERIA 25,Actualizar los equipos disponibles para dar clases ya que muchos son anticuados o no funcionan correctamente,Actualizar los equipos disponibles para dar clases ya que muchos son anticuados o no funcionan correctamente,"['actualizar', 'equipos', 'disponibles', 'dar', 'clases', 'anticuados', 'funcionan', 'correctamente']","['actualizar', 'equipo', 'disponible', 'clase', 'anticuado', 'funcionar', 'correctamente']",Positivo,53.17%,2,
SEDE 1,FACULTAD 2,INGENIERIA 08,Adecuacion de salones de estudio adicionales,Adecuacion de salones de estudio adicionales,"['adecuacion', 'salones', 'estudio', 'adicionales']","['adecuacion', 'salón', 'estudio', 'adicional']",Positivo,56.25%,6,estudio
SEDE 1,FACULTAD 4,INGENIERIA 17,Adecuar con equipos necesarios los laboratorios,Adecuar con equipos necesarios los laboratorios,"['adecuar', 'equipos', 'necesarios', 'laboratorios']","['adecuar', 'equipo', 'necesario', 'laboratorio']",Positivo,78.11%,0,variedad
