SEDE,FACULTAD,CARRERA,OBSERVACIONES,OBSERVACIONES,TEXTO_TOKEN,LEMMA,SENTIMIENTO,SCORE,TOPIC,name_topic
SEDE 1,FACULTAD 3,INGENIERIA 15,Aclarar procedimientos o que tiempo se necesita para hacer una solicitud de un salón especial o presentar alguna queja especial sobre cambios de profesores luego de RI,Aclarar procedimientos o que tiempo se necesita para hacer una solicitud de un salón especial o presentar alguna queja especial sobre cambios de profesores luego de RI,"['aclarar', 'procedimientos', 'tiempo', 'necesita', 'hacer', 'solicitud', 'salón', 'especial', 'presentar', 'alguna', 'queja', 'especial', 'cambios', 'profesores', 'luego']","['aclarar', 'procedimiento', 'tiempo', 'necesitar', 'solicitud', 'salón', 'especial', 'presentar', 'queja', 'especial', 'cambio', 'profesor']",Neutral,37.18%,6,
SEDE 1,FACULTAD 4,INGENIERIA 17,Acondicionamiento con los equipos pertinentes a los laboratorios.,Acondicionamiento con los equipos pertinentes a los laboratorios.,"['acondicionamiento', 'equipos', 'pertinentes', 'laboratorios']","['acondicionamiento', 'equipo', 'pertinente', 'laboratorio']",Neutral,70.83%,4,laboratorio
SEDE 4,FACULTAD 1,INGENIERIA 01,"Acondicionamiento de las áreas de deportes. El campo grande de fútbol no es apto para uso, tanto que se solicitó prestada la de la Universidad Nacional para el torneo, no debería ser así.","Acondicionamiento de las áreas de deportes. El campo grande de fútbol no es apto para uso, tanto que se solicitó prestada la de la Universidad Nacional para el torneo, no debería ser así.","['acondicionamiento', 'áreas', 'deportes', 'campo', 'grande', 'fútbol', 'apto', 'uso', 'solicitó', 'prestada', 'universidad', 'nacional', 'torneo', 'debería', 'ser', 'así']","['acondicionamiento', 'área', 'deport', 'campo', 'fútbol', 'apto', 'solicitar', 'prestado', 'universidad', 'nacional', 'torneo', 'deber']",Neutral,65.96%,7,
SEDE 7,FACULTAD 2,TÉCNICO 05,acondicionar estacionamiento área del taller,acondicionar estacionamiento área del taller,"['acondicionar', 'estacionamiento', 'área', 'taller']","['acondicionar', 'estacionamiento', 'área', 'taller']",Neutral,53.11%,6,
SEDE 1,FACULTAD 4,LICENCIATURA 14,actualizacion de equipos en laboratorios de termodinamica,actualizacion de equipos en laboratorios de termodinamica,"['actualizacion', 'equipos', 'laboratorios', 'termodinamica']","['actualizacion', 'equipo', 'laboratorio', 'termodinamico']",Neutral,70.83%,4,laboratorio
SEDE 1,FACULTAD 5,LICENCIATURA 27,"Actualización de los equipos de laboratorio (computadoras, monitor, mouse, teclado) y ---- operativos actuales.","Actualización de los equipos de laboratorio (computadoras, monitor, mouse, teclado) y ---- operativos actuales.","['actualización', 'equipos', 'laboratorio', 'computadoras', 'monitor', 'mouse', 'teclado', 'operativos', 'actuales']","['actualización', 'equipo', 'laboratorio', 'computadora', 'monitor', 'mouse', 'teclado', 'operativo', 'actual']",Neutral,85.41%,4,laboratorio
SEDE 1,FACULTAD 5,LICENCIATURA 23,Actualizacion de los equipos en los laboratorios como computadoras.,Actualizacion de los equipos en los laboratorios como computadoras.,"['actualizacion', 'equipos', 'laboratorios', 'computadoras']","['actualizacion', 'equipo', 'laboratorio', 'computadora']",Neutral,78.12%,4,laboratorio
SEDE 8,FACULTAD 5,LICENCIATURA 23,actualizacion en contenido academico materias laboratorios etc,actualizacion en contenido academico materias laboratorios etc,"['actualizacion', 'contenido', 'academico', 'materias', 'laboratorios', 'etc']","['actualizacion', 'contenido', 'academico', 'materia', 'laboratorio', 'etc']",Neutral,33.47%,2,
SEDE 1,FACULTAD 2,TÉCNICO 05,Actualizacion en equipos de talleres para la facultad de ----,Actualizacion en equipos de talleres para la facultad de ----,"['actualizacion', 'equipos', 'talleres', 'facultad']","['actualizacion', 'equipo', 'talleres', 'facultad']",Neutral,70.81%,4,laboratorio
SEDE 1,FACULTAD 2,TÉCNICO 03,Actualización en los equipos de laboratorio de electricidad.,Actualización en los equipos de laboratorio de electricidad.,"['actualización', 'equipos', 'laboratorio', 'electricidad']","['actualización', 'equipo', 'laboratorio', 'electricidad']",Neutral,62.50%,4,laboratorio
SEDE 4,FACULTAD 1,LICENCIATURA 05,Actualización en los talleres de topografía. Equipo,Actualización en los talleres de topografía. Equipo,"['actualización', 'talleres', 'topografía', 'equipo']","['actualización', 'talleres', 'topografía', 'equipo']",Neutral,70.81%,4,laboratorio
SEDE 1,FACULTAD 4,LICENCIATURA 17,Actualización general de la sede Howard,Actualización general de la sede Howard,"['actualización', 'general', 'sede', 'howard']","['actualización', 'general', 'sede', 'howard']",Neutral,57.89%,2,
SEDE 1,FACULTAD 1,LICENCIATURA 01,"Actualización u opción para volver a tener acceso al Wi-Fi, en caso de olvidarse contraseña","Actualización u opción para volver a tener acceso al Wi-Fi, en caso de olvidarse contraseña","['actualización', 'opción', 'volver', 'tener', 'acceso', 'wifi', 'caso', 'olvidarse', 'contraseña']","['actualización', 'opción', 'volver', 'acceso', 'wifi', 'caso', 'olvidar él', 'contraseño']",Neutral,64.05%,4,laboratorio
SEDE 6,FACULTAD 2,INGENIERIA 08,Actualizar  herramientas y equipos en los laboratorios,Actualizar  herramientas y equipos en los laboratorios,"['actualizar', 'herramientas', 'equipos', 'laboratorios']","['actualizar', 'herramienta', 'equipo', 'laboratorio']",Neutral,82.50%,4,laboratorio
SEDE 4,FACULTAD 5,LICENCIATURA 21,Actualizar algunos equipos de cómputo en diferentes laboratorios de informática,Actualizar algunos equipos de cómputo en diferentes laboratorios de informática,"['actualizar', 'equipos', 'cómputo', 'diferentes', 'laboratorios', 'informática']","['actualizar', 'equipo', 'cómputo', 'laboratorio', 'informáticar']",Neutral,82.50%,4,laboratorio
SEDE 1,FACULTAD 4,LICENCIATURA 14,Actualizar el equipo de trabajo en los laboratorios de Tocumen,Actualizar el equipo de trabajo en los laboratorios de Tocumen,"['actualizar', 'equipo', 'trabajo', 'laboratorios', 'tocumen']","['actualizar', 'equipo', 'trabajo', 'laboratorio', 'tocumar']",Neutral,85.41%,4,laboratorio
SEDE 6,FACULTAD 1,LICENCIATURA 05,Actualizar el equipo informático para poder practicar con los programas indispensables en cada carrera.,Actualizar el equipo informático para poder practicar con los programas indispensables en cada carrera.,"['actualizar', 'equipo', 'informático', 'poder', 'practicar', 'programas', 'indispensables', 'cada', 'carrera']","['actualizar', 'equipo', 'informático', 'practicar', 'programa', 'indispensable', 'carrera']",Neutral,87.50%,4,laboratorio
SEDE 8,FACULTAD 1,INGENIERIA 01,Actualizar el equipo utilizado en el servicio de fotocopiado.,Actualizar el equipo utilizado en el servicio de fotocopiado.,"['actualizar', 'equipo', 'utilizado', 'servicio', 'fotocopiado']","['actualizar', 'equipo', 'utilizado', 'servicio', 'fotocopiado']",Neutral,55.41%,4,laboratorio
SEDE 1,FACULTAD 4,LICENCIATURA 14,"ACTUALIZAR EL PLAN DE ESTUDIO DE LA CARRERA DE AUTOMOTRIZ, EL MUNDO ESTA AVANZANDO A PASOS AGIGANTADOS.","ACTUALIZAR EL PLAN DE ESTUDIO DE LA CARRERA DE AUTOMOTRIZ, EL MUNDO ESTA AVANZANDO A PASOS AGIGANTADOS.","['actualizar', 'plan', 'estudio', 'carrera', 'automotriz', 'mundo', 'avanzando', 'pasos', 'agigantados']","['actualizar', 'plan', 'estudio', 'carrero', 'automotriz', 'mundo', 'avanzar', 'paso', 'agigantado']",Neutral,85.41%,6,
SEDE 1,FACULTAD 5,INGENIERIA 25,Actualizar equipos de laboratorios informaticos,Actualizar equipos de laboratorios informaticos,"['actualizar', 'equipos', 'laboratorios', 'informaticos']","['actualizar', 'equipo', 'laboratorio', 'informatico']",Neutral,82.50%,4,laboratorio
SEDE 6,FACULTAD 3,POSTGRADO 14,Actualizar información de recepción de documentos y aplicaciones para maestrías.,Actualizar información de recepción de documentos y aplicaciones para maestrías.,"['actualizar', 'información', 'recepción', 'documentos', 'aplicaciones', 'maestrías']","['actualizar', 'información', 'recepción', 'documento', 'aplicación', 'maestría']",Neutral,46.68%,4,laboratorio
SEDE 1,FACULTAD 2,LICENCIATURA 07,Actualizar la forma de impartir clases,Actualizar la forma de impartir clases,"['actualizar', 'forma', 'impartir', 'clases']","['actualizar', 'forma', 'impartir', 'clase']",Neutral,41.41%,2,
SEDE 1,FACULTAD 2,INGENIERIA 08,Actualizar las herramientas y equipo en los talleres,Actualizar las herramientas y equipo en los talleres,"['actualizar', 'herramientas', 'equipo', 'talleres']","['actualizar', 'herramienta', 'equipo', 'talleres']",Neutral,78.12%,4,laboratorio
SEDE 1,FACULTAD 5,INGENIERIA 23,Actualizar los ---- Operativos de los equipos informáticos,Actualizar los ---- Operativos de los equipos informáticos,"['actualizar', 'operativos', 'equipos', 'informáticos']","['actualizar', 'operativo', 'equipo', 'informático']",Neutral,78.12%,4,laboratorio
SEDE 1,FACULTAD 5,LICENCIATURA 23,Actualizar los equipos a unos mas nuevos(computadoras),Actualizar los equipos a unos mas nuevos(computadoras),"['actualizar', 'equipos', 'mas', 'nuevos', 'computadoras']","['actualizar', 'equipo', 'computadora']",Neutral,78.12%,4,laboratorio
SEDE 2,FACULTAD 4,INGENIERIA 19,Actualizar los equipos de deportes ( balón de básquetbol),Actualizar los equipos de deportes ( balón de básquetbol),"['actualizar', 'equipos', 'deportes', 'balón', 'básquetbol']","['actualizar', 'equipo', 'deport', 'balón', 'básquetbol']",Neutral,70.83%,4,laboratorio
SEDE 5,FACULTAD 2,LICENCIATURA 07,Actualizar los equipos de enseñanza en los laboratorios,Actualizar los equipos de enseñanza en los laboratorios,"['actualizar', 'equipos', 'enseñanza', 'laboratorios']","['actualizar', 'equipo', 'enseñanzar', 'laboratorio']",Neutral,78.12%,4,laboratorio
SEDE 1,FACULTAD 2,INGENIERIA 08,Actualizar los equipos de laboratorio de programación.,Actualizar los equipos de laboratorio de programación.,"['actualizar', 'equipos', 'laboratorio', 'programación']","['actualizar', 'equipo', 'laboratorio', 'programación']",Neutral,78.12%,4,laboratorio
SEDE 1,FACULTAD 1,LICENCIATURA 05,Actualizar los equipos de laboratorio de topografía,Actualizar los equipos de laboratorio de topografía,"['actualizar', 'equipos', 'laboratorio', 'topografía']","['actualizar', 'equipo', 'laboratorio', 'topografía']",Neutral,78.12%,4,laboratorio
SEDE 3,FACULTAD 1,LICENCIATURA 05,Actualizar los equipos de laboratorio de topografía.,Actualizar los equipos de laboratorio de topografía.,"['actualizar', 'equipos', 'laboratorio', 'topografía']","['actualizar', 'equipo', 'laboratorio', 'topografía']",Neutral,78.12%,4,laboratorio
SEDE 1,FACULTAD 5,INGENIERIA 25,Actualizar los equipos de laboratorios técnicos y laboratorios de computación,Actualizar los equipos de laboratorios técnicos y laboratorios de computación,"['actualizar', 'equipos', 'laboratorios', 'técnicos', 'laboratorios', 'computación']","['actualizar', 'equipo', 'laboratorio', 'técnico', 'laboratorio', 'computación']",Neutral,68.75%,4,laboratorio
SEDE 4,FACULTAD 5,LICENCIATURA 21,"Actualizar los equipos de los laboratorios, ya sea de software o de hardware","Actualizar los equipos de los laboratorios, ya sea de software o de hardware","['actualizar', 'equipos', 'laboratorios', 'software', 'hardware']","['actualizar', 'equipo', 'laboratorio', 'softwarar', 'hardware']",Neutral,78.12%,4,laboratorio
SEDE 2,FACULTAD 5,LICENCIATURA 27,Actualizar los equipos en el laboratorio de informática,Actualizar los equipos en el laboratorio de informática,"['actualizar', 'equipos', 'laboratorio', 'informática']","['actualizar', 'equipo', 'laboratorio', 'informáticar']",Neutral,82.50%,4,laboratorio
SEDE 1,FACULTAD 2,INGENIERIA 13,Actualizar los equipos en los laboratorios ya que muchos no funcionan,Actualizar los equipos en los laboratorios ya que muchos no funcionan,"['actualizar', 'equipos', 'laboratorios', 'funcionan']","['actualizar', 'equipo', 'laboratorio', 'funcionar']",Neutral,82.50%,4,laboratorio
SEDE 7,FACULTAD 1,LICENCIATURA 04,actualizar los equipos para los laboratorios de campo,actualizar los equipos para los laboratorios de campo,"['actualizar', 'equipos', 'laboratorios', 'campo']","['actualizar', 'equipo', 'laboratorio', 'campo']",Neutral,82.50%,4,laboratorio
SEDE 2,FACULTAD 5,LICENCIATURA 22,Actualizar programas de los equipos de computo,Actualizar programas de los equipos de computo,"['actualizar', 'programas', 'equipos', 'computo']","['actualizar', 'programa', 'equipo', 'computo']",Neutral,78.12%,4,laboratorio
SEDE 1,FACULTAD 2,TÉCNICO 05,Actualizar y agregar tecnologia y equipos en las areas de laboratorios de la facultad de ----.,Actualizar y agregar tecnologia y equipos en las areas de laboratorios de la facultad de ----.,"['actualizar', 'agregar', 'tecnologia', 'equipos', 'areas', 'laboratorios', 'facultad']","['actualizar', 'agregar', 'tecnologia', 'equipo', 'area', 'laboratorio', 'facultad']",Neutral,54.05%,4,laboratorio
SEDE 1,FACULTAD 2,INGENIERIA 08,Actualizar y arreglar los equipos de laboratorios,Actualizar y arreglar los equipos de laboratorios,"['actualizar', 'arreglar', 'equipos', 'laboratorios']","['actualizar', 'arreglar', 'equipo', 'laboratorio']",Neutral,82.49%,4,laboratorio
SEDE 1,FACULTAD 4,INGENIERIA 20,Actualmente son muy escasos los centro de fotocopiado en el ----. Al menos referente a las facultades de ---- y ----,Actualmente son muy escasos los centro de fotocopiado en el ----. Al menos referente a las facultades de ---- y ----,"['actualmente', 'escasos', 'centro', 'fotocopiado', 'menos', 'referente', 'facultades']","['actualmente', 'escaso', 'centro', 'fotocopiado', 'referente', 'facultad']",Neutral,66.70%,7,
SEDE 4,FACULTAD 3,LICENCIATURA 10,Adecuar áreas de receso o esparcimiento,Adecuar áreas de receso o esparcimiento,"['adecuar', 'áreas', 'receso', 'esparcimiento']","['adecuar', 'área', 'receso', 'esparcimiento']",Neutral,78.11%,7,
SEDE 8,FACULTAD 1,LICENCIATURA 04,Adecuar areas verdes para espacio de esparcimiento,Adecuar areas verdes para espacio de esparcimiento,"['adecuar', 'areas', 'verdes', 'espacio', 'esparcimiento']","['adecuar', 'area', 'verde', 'espacio', 'esparcimiento']",Neutral,61.66%,6,
SEDE 1,FACULTAD 1,LICENCIATURA 04,Adecuar las sillas de los estudiantes para que sean mas cómodas al sentarse,Adecuar las sillas de los estudiantes para que sean mas cómodas al sentarse,"['adecuar', 'sillas', 'estudiantes', 'mas', 'cómodas', 'sentarse']","['adecuar', 'silla', 'estudiante', 'cómodo', 'sentar él']",Neutral,46.81%,5,wifi
SEDE 8,FACULTAD 1,INGENIERIA 01,Adecuar los estacionamientos actuales para incluir un techo,Adecuar los estacionamientos actuales para incluir un techo,"['adecuar', 'estacionamientos', 'actuales', 'incluir', 'techo']","['adecuar', 'estacionamiento', 'actual', 'incluir', 'techo']",Neutral,22.50%,6,
SEDE 1,FACULTAD 5,LICENCIATURA 21,adecuar los horarios para la atención a estudiante nocturno,adecuar los horarios para la atención a estudiante nocturno,"['adecuar', 'horarios', 'atención', 'estudiante', 'nocturno']","['adecuar', 'horario', 'atención', 'estudiante', 'nocturno']",Neutral,82.49%,0,
SEDE 4,FACULTAD 5,LICENCIATURA 23,Además de la biblioteca no contamos con otro espacio para realizar las actividades de estudio,Además de la biblioteca no contamos con otro espacio para realizar las actividades de estudio,"['además', 'biblioteca', 'contamos', 'espacio', 'realizar', 'actividades', 'estudio']","['biblioteca', 'contar', 'espacio', 'actividad', 'estudio']",Neutral,85.40%,6,
SEDE 1,FACULTAD 3,INGENIERIA 14,"Además, en los salones de estudio muchas veces no llega la señal de más móvil.","Además, en los salones de estudio muchas veces no llega la señal de más móvil.","['además', 'salones', 'estudio', 'muchas', 'veces', 'llega', 'señal', 'móvil']","['salón', 'estudio', 'llegar', 'señal', 'móvil']",Neutral,68.72%,5,wifi
SEDE 1,FACULTAD 1,POSTGRADO 17,Adición de maestrías y programas superiores,Adición de maestrías y programas superiores,"['adición', 'maestrías', 'programas', 'superiores']","['adición', 'maestría', 'programa', 'superior']",Neutral,70.82%,6,
SEDE 1,FACULTAD 2,INGENIERIA 08,Adquirir equipos nuevos para los laboratorios.,Adquirir equipos nuevos para los laboratorios.,"['adquirir', 'equipos', 'nuevos', 'laboratorios']","['adquirir', 'equipo', 'laboratorio']",Neutral,70.83%,4,laboratorio
